file_id	md5	size	urls	sample_id
e4fdfd770c4102d4032c2ca5ca3e0768	54e63d7c473cbc20253d2a6a412122e2	14111	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP956934_K30_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b768d54740
e4fdfd770c4102d4032c2ca5ca373746	1cca6df92c79fcb985543cc20e8b55f0	2080	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP445627_K40_MV1D.stirrups.profile.txt	e50d0c183689e4053ccb35f8b2c62090
e4fdfd770c4102d4032c2ca5ca1ba6c5	6f0e32e9d5e20af5576fed1136dd5154	4074	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP094101_K10_MV1D.stirrups.profile.txt	8938ac880f194a32bc6b736c155f4399
e4fdfd770c4102d4032c2ca5ca0f6bd2	42f40712f82f3dd3ea7615bca565548f	4458	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP824738_K60_MV1D.stirrups.profile.txt	858ed4564f11795ec13dda4c10f38249
e4fdfd770c4102d4032c2ca5ca40325f	ea389c375c6182325321613f08c649aa	1911	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP740729_K50_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b768c41515
e4fdfd770c4102d4032c2ca5ca13436b	49b2b51dc33bb91a4b0ccca9b68908ab	7973	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP063938_K30_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b7687e1ce1
e4fdfd770c4102d4032c2ca5ca0f5226	ff27bda45d54a7d4b3ea8078a3636bb9	2552	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP868014_K10_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b768ce2d63
e4fdfd770c4102d4032c2ca5ca0e3135	475e5f69874d79f2a16bc66f67bcc3d6	4599	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP982160_K20_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b768da8c0d
e4fdfd770c4102d4032c2ca5ca3a4c76	c13e4613c9a4528709ffd7bfe0e6ee0f	5032	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP360379_K30_MV1D.stirrups.profile.txt	76612bd9a41885add4f6b0b768a192cf
e4fdfd770c4102d4032c2ca5ca053bf4	a5dd2f4105c42260620d0b12da266d33	3812	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/analysis/hmqcp/EP889264_K30_MV1D.stirrups.profile.txt	858ed4564f11795ec13dda4c10fd3fa3
