file_id	md5	size	urls	sample_id
342a36c1201625f97004d2dc5c1276c5	fb4104d37818f62990b28a70f00876df	3779	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K60_BS1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c15021846
342a36c1201625f97004d2dc5c147391	c93a96e7692a43726430f3a411364b75	1659	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K30_MV1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c15020b1b
342a36c1201625f97004d2dc5c1f8b06	2388947ac63d0f1c3364b63ed68bee60	1663	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K40_MV1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c15020fa1
342a36c1201625f97004d2dc5c15886f	d77753c0a111663ae62e0fc32c3d0f43	1936	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K50_MV1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c1502126e
342a36c1201625f97004d2dc5c11d7d7	32a20dd3add80d8e4cf1e87a86515fbe	1660	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K20_MV1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c1501ef6c
342a36c1201625f97004d2dc5c178845	ef1435c9acf6da990168220598202df8	1954	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K10_MV1D.metagenome.bve.profile.txt	88af6472fb03642dd5eaf8cddcc4bab2
342a36c1201625f97004d2dc5c1afae6	94209506c81c3c45ead4b6e36ac21049	2842	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP575820_K80_BS1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c15022928
342a36c1201625f97004d2dc5c14b0c5	af2e888a6bff646e1ca4eee2c0866891	6031	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP643672_K90_BS1D.metagenome.bve.profile.txt	e50d0c183689e4053ccb35f8b2c75581
342a36c1201625f97004d2dc5c1dbe52	3e36f28f99b6cb1f5e5a8a836c0a958b	4567	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP643672_K30_MV1D.metagenome.bve.profile.txt	e50d0c183689e4053ccb35f8b2c71907
342a36c1201625f97004d2dc5c121272	503ff7c9706d2acb0256374503ceccef	8802	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/wgs/analysis/hmscp/EP643672_K20_MV1D.metagenome.bve.profile.txt	8938ac880f194a32bc6b736c1559239d
